T AIG 4910.00 100.0
T AIG 4910.00 100.0
Q ABT 3796.00 1.0 3800.00 2.0
T AIG 4910.00 100.0
T AIG 491000.00 100.0
T AIG 491000.00 100.0
Q AIV 2626.00 4.0 2628.00 5.0
T AIG 491000.00 100.0
T AIG 491000.00 100.0
T AIG 491000.00 301.0
Q AIV 2624.00 4.0 2628.00 1.0
T AIG 49100000.00 100.0
Q AIV 2626.00 1.0 2628.00 1.0
T AIG 491000.00 100.0
Q ARW 5420.00 1.0 5431.00 1.0
T AIG 4910.00 100.0
T AIG 491000.00 200.0
Q AGN 9633.00 1.0 9646.00 1.0
Q AWI 5090.00 1.0 5110.00 1.0
Q AOL 4589.00 1.0 4595.00 1.0
Q AGU 9058.00 1.0 9067.00 1.0
T ALL 5429.00 200.0
Q AUY 940.00 55.0 941.00 8.0
Q AUY 940.00 17.0 942.00 2.0
Q ASX 517.00 3.0 518.00 8.0
T ALL 5429.00 100.0
Q AIG 492500.00 13.0 492600.00 3.0
Q AIG 492500.00 6.0 492600.00 6.0
T APA 9179.00 201.0
Q ACM 2993.00 2.0 2996.00 1.0
T ABT 380300.00 100.0
T ABT 38030000.00 100.0
T ABT 3803.00 100.0
T ABT 3803.00 100.0
Q AUY 94000.00 17.0 94200.00 5.0
T ABT 3803.00 100.0
Q AEM 2900.00 4.0 2911.00 2.0
Q AMT 7888.00 1.0 7905.00 1.0
T ABT 3803.00 100.0
T ABT 3803.00 100.0
T ABT 380300.00 100.0
Q ATU 3842.00 1.0 3857.00 1.0
T ABT 38030000.00 100.0
Q ADM 414600.00 17.0 414800.00 3.0
T ABT 38030000.00 200.0
Q AIV 2621.00 6.0 2634.00 6.0
Q ABX 1815.00 74.0 1816.00 39.0
Q AMT 0.00 0.0 791400.00 20.0
Q AES 1518.00 6.0 1520.00 4.0
Q AEM 2909.00 1.0 2912.00 4.0
Q AIV 2625.00 2.0 2627.00 3.0
T AET 6457.00 100.0
Q AIV 2621.00 3.0 2628.00 1.0
T AKS 524.00 200.0
T AKS 524.00 400.0
T AKS 524.00 100.0
T AKS 52400.00 100.0
T ADT 431100.00 100.0
T AKS 52400.00 100.0
T AKS 52400.00 100.0
Q AGN 9633.00 1.0 9646.00 1.0
Q AGN 9633.00 1.0 9646.00 1.0
Q AGN 9633.00 1.0 9641.00 1.0
Q AIV 2625.00 2.0 2626.00 4.0
Q AIV 2625.00 1.0 2627.00 3.0
Q AIV 2624.00 1.0 2628.00 1.0
Q AES 1518.00 6.0 1520.00 5.0
T ABT 3803.00 100.0
T ABT 3803.00 100.0
Q AEP 476500.00 1.0 477400.00 16.0
T ABT 3803.00 100.0
T ABT 3803.00 100.0
Q AIV 2625.00 2.0 2627.00 3.0
T ABT 3803.00 100.0
T ABT 3803.00 100.0
Q AEC 1452.00 1.0 1454.00 2.0
Q APC 9060.00 1.0 9085.00 1.0
T AWH 1119000.00 100.0
Q APC 9060.00 1.0 9071.00 6.0
T AWH 1119000.00 100.0
T AFG 565300.00 100.0
T AFG 5653.00 100.0
Q ALK 7615.00 1.0 7638.00 1.0
T ATI 337400.00 100.0
Q AIV 2626.00 3.0 2628.00 1.0
T AMT 791900.00 100.0
Q ASA 1337.00 1.0 1400.00 10.0
Q ANN 3660.00 1.0 3668.00 1.0
Q ADM 4147.00 2.0 4148.00 1.0
Q ADM 4147.00 5.0 4148.00 2.0
Q ADM 414700.00 1.0 414800.00 1.0
Q ADM 4147.00 2.0 4148.00 2.0
T AIG 4910.00 100.0
T AIG 49100000.00 100.0
Q AIG 4922.00 2.0 4931.00 1.0
T AIG 49100000.00 100.0
Q ACC 333400.00 6.0 333600.00 4.0
Q ASG 534.00 1.0 537.00 1.0
T ABB 251700.00 200.0
Q APA 924500.00 1.0 925000.00 19.0
Q AWI 5080.00 1.0 5110.00 1.0
Q ABT 3796.00 8.0 3798.00 9.0
T ARE 6401.00 100.0
Q ABT 3796.00 8.0 3798.00 8.0
Q ABT 3796.00 1.0 3803.00 9.0
Q ABT 379600.00 9.0 379800.00 10.0
Q APA 924400.00 1.0 925000.00 19.0
T ATW 576600.00 100.0
T ATW 576600.00 100.0
Q AIV 2626.00 4.0 2627.00 1.0
T ATW 576600.00 100.0
Q AIV 2623.00 1.0 2628.00 1.0
Q AME 4903.00 7.0 4916.00 9.0
Q ASG 528.00 1.0 538.00 13.0
Q ASG 52800.00 1.0 53700.00 1.0
Q ACC 333400.00 5.0 333600.00 4.0
Q ABT 379600.00 5.0 379800.00 10.0
T ABT 38030000.00 100.0
Q AIV 2604.00 5.0 2630.00 4.0
T ABT 3803.00 100.0
Q AIV 2604.00 5.0 2627.00 4.0
T ABT 3803.00 100.0
